,WINS,LOSSES,GAMES,POSSESSIONS,OPPPOSSESSIONS,ORTG,DRTG,OPPFGMPG,OPPPOINTSPG,OPPFGAPG,OPPFGM3PG,OPPFGA3PG,OPPORPG,OPPDRPG,OPPASTPG,OPPTOPG,OPPSTLPG,OPPBLKPG,OPPPFPG,OPPFTMPG,OPPFTAPG,FGMPG,POINTSPG,FGAPG,FGM3PG,FGA3PG,ORPG,DRPG,ASTPG,TOPG,STLPG,BLKPG,PFPG,FTMPG,FTAPG,Team1,Team2,Team1Wins?
0,-5.0,4.0,-1.0,-35.3125,-49.149999999999864,-10.718182255406603,-3.3961196638877027,2.1264367816091934,-2.7344827586206932,0.565517241379311,0.08735632183908049,-2.408045977011497,1.7908045977011486,-0.03908045977011554,2.0954022988505745,-1.5057471264367823,0.8275862068965516,1.6413793103448273,-2.9436781609195393,3.2747126436781606,3.8183908045977013,-0.3540229885057471,-7.939080459770111,1.526436781609199,0.5494252873563212,-0.5,-0.8908045977011483,-1.6275862068965523,-1.165517241379309,0.9735632183908063,0.6356321839080454,0.7666666666666666,0.8034482758620669,-1.434482758620689,-7.135632183908047,1421.0,1411.0,0.0
1,6.0,-7.0,-1.0,120.08749999999998,119.26249999999993,20.999899418016184,11.857640208312901,3.598522167487687,16.985221674876847,9.60960591133005,-0.7475369458128078,-1.4839901477832491,3.5209359605911335,1.4236453201970427,2.1884236453201957,3.8571428571428577,-1.139162561576355,-1.2623152709359609,4.140394088669954,0.6625615763546797,1.9556650246305427,5.493842364532021,25.204433497536947,9.85221674876847,1.7598522167487687,4.588669950738918,2.213054187192119,1.9187192118226584,3.4359605911330036,0.7167487684729075,1.6022167487684724,1.248768472906404,1.8534482758620694,4.673645320197043,5.448275862068964,1112.0,1436.0,0.0
2,-5.0,5.0,0.0,-13.700000000000045,-7.4249999999999545,-6.5066389518808165,-6.30265998454162,1.5172413793103452,-4.96551724137931,-2.2068965517241352,-0.4482758620689653,-2.413793103448276,-1.3448275862068968,-3.034482758620687,0.7586206896551726,0.4482758620689662,-1.275862068965517,0.7586206896551722,2.9310344827586228,0.7586206896551726,-0.2068965517241388,0.9310344827586228,-5.206896551724135,-3.103448275862071,-3.0,-7.482758620689657,-0.3793103448275854,-2.655172413793103,-1.068965517241379,0.2068965517241388,-2.1724137931034484,-0.8275862068965516,0.6551724137931068,2.586206896551726,3.3103448275862064,1113.0,1272.0,0.0
3,6.0,-2.0,4.0,97.61249999999995,96.07500000000005,8.950229681653028,-2.505298344794369,-2.466039707419018,-4.247648902821318,-2.5977011494252835,-0.0867293625914316,0.40647857889237216,-1.1807732497387669,2.467084639498431,0.5705329153605021,0.9916405433646815,-2.114942528735633,0.09299895506792044,-2.295715778474399,-3.889237199582027,-5.268547544409614,2.0762800417972826,3.3876698014629056,4.76489028213166,1.1421107628004181,2.553814002089865,0.2925809822361547,-0.09404388714733258,1.197492163009402,-4.877742946708466,1.290491118077325,0.45454545454545414,-3.6927899686520362,-5.397074190177637,-5.142110762800417,1166.0,1141.0,1.0
4,3.0,-4.0,-1.0,15.599999999999909,17.625,5.573266419930533,7.025919923078888,1.9459770114942536,7.44252873563218,5.659770114942532,1.370114942528736,4.448275862068964,0.6390804597701152,1.5666666666666664,3.467816091954024,0.29770114942528814,-1.5022988505747126,-0.31609195402298873,-0.22988505747126453,-3.5034482758620697,-3.751724137931035,3.0114942528735646,6.816091954022994,5.390804597701148,-1.552873563218391,-5.46551724137931,1.508045977011495,2.345977011494252,1.333333333333334,-0.02758620689655089,-1.214942528735632,-0.2735632183908048,-1.5632183908046002,-2.387356321839082,-0.9494252873563198,1143.0,1301.0,0.0
5,2.0,-1.0,1.0,-89.07500000000005,-70.22499999999991,0.3335976556740263,0.9449381937179311,-3.8989247311827953,-5.050537634408606,-14.108602150537628,-1.4333333333333336,-3.907526881720429,-4.913978494623656,-1.3064516129032242,-2.8258064516129036,1.1172043010752688,-2.3161290322580648,-1.9075268817204307,2.1204301075268823,1.5086021505376355,2.483870967741936,-5.501075268817207,-6.655913978494617,-10.94193548387097,0.1268817204301076,0.4290322580645167,-3.8956989247311835,-3.4806451612903224,-2.213978494623655,-2.0580645161290327,1.0021505376344084,-5.2172043010752684,3.0193548387096776,3.2935483870967754,2.0612903225806427,1140.0,1163.0,1.0
6,7.0,-7.0,0.0,74.57499999999982,73.88750000000005,16.813452714364914,7.512414081702545,-0.7666666666666657,9.166666666666664,-0.30000000000000426,-0.7000000000000002,-1.8666666666666654,0.1999999999999993,3.5666666666666664,-0.8999999999999986,5.6,-2.5999999999999996,1.0333333333333328,1.8999999999999986,-0.033333333333333215,-0.36666666666666714,0.9666666666666686,16.4,8.233333333333334,3.133333333333333,9.033333333333335,2.966666666666667,-0.3666666666666636,-1.666666666666666,-2.0999999999999996,3.166666666666667,0.9000000000000004,0.6999999999999993,2.8999999999999986,3.8000000000000007,1181.0,1161.0,0.0
7,-6.0,3.0,-3.0,-166.23750000000007,-169.88749999999993,-12.712680375624828,-10.804921821377903,-2.653225806451612,-10.614055299539174,-3.150921658986178,-1.5230414746543772,-2.8894009216589858,1.0103686635944698,3.1428571428571423,-1.991935483870968,-0.9423963133640552,-2.7603686635944698,0.9389400921658986,-0.7741935483870961,0.13594470046082918,0.9723502304147473,-3.1716589861751174,-12.48041474654378,1.2269585253456228,-0.4827188940092162,0.4354838709677402,0.20737327188940036,-1.9297235023041495,-3.4562211981566815,-3.9412442396313363,-1.6278801843317972,0.7338709677419355,0.31912442396313523,-2.9170506912442384,-3.1094470046082954,1153.0,1211.0,1.0
8,-1.0,2.0,1.0,43.737499999999955,58.312499999999886,-8.654172508486198,0.43845211472182655,3.956989247311828,1.13655913978495,1.901075268817202,-1.0870967741935482,-3.5516129032258075,0.22150537634408707,0.41290322580645267,0.9666666666666668,0.908602150537634,0.2677419354838708,0.048387096774193505,1.2193548387096769,-1.8075268817204293,-2.1365591397849464,-1.3903225806451616,-4.9064516129032185,0.1032258064516185,0.2763440860215054,0.8655913978494603,2.4279569892473134,-2.1419354838709666,-4.073118279569892,1.9946236559139798,0.06451612903225801,0.4483870967741934,-0.681720430107525,0.1677419354838694,1.9967741935483865,1443.0,1228.0,1.0
9,-1.0,1.0,-0.0,-198.28750000000002,-187.0875000000001,-4.372725933398073,5.569751432807976,-2.6000000000000014,-6.166666666666671,-9.733333333333334,-0.8666666666666671,-1.466666666666665,-2.4000000000000004,-3.466666666666665,-0.6666666666666679,-4.933333333333334,-1.833333333333333,-2.3000000000000003,-2.3999999999999986,-0.1999999999999993,-0.43333333333333357,-6.533333333333335,-15.033333333333339,-10.366666666666667,-0.7666666666666666,-2.0,-1.6666666666666679,-4.533333333333331,-2.833333333333334,-2.666666666666668,-5.066666666666666,-2.9000000000000004,-0.5999999999999979,-1.5333333333333332,-3.8999999999999986,1429.0,1242.0,1.0
